"","name","unit","longname"
"181","PHY_green_fSil","-","fSil (0-1)"
"182","PHY_green_fT","-","fT (>0)"
"183","PHY_green_gpp_c","mmol C/m3/d","group primary production"
"184","PHY_green_gpp_n","mmol N/m3/d","group primary production"
"185","PHY_green_gpp_p","mmol P/m3/d","group primary production"
"186","PHY_green_mor_c","mmol C/m3/d","group mortality"
"187","PHY_green_mor_n","mmol N/m3/d","group mortality"
"188","PHY_green_mor_p","mmol P/m3/d","group mortality"
"189","PHY_green_NtoP","mol N/ mol P","internal n:p ratio"
"190","PHY_green_rsp_c","mmol C/m3/d","group respiration"
"191","PHY_green_rsp_n","mmol N/m3/d","group respiration"
"192","PHY_green_rsp_p","mmol P/m3/d","group respiration"
"193","PHY_green_set_c","mmol C/m3/d","group sedimentation"
"194","PHY_green_set_n","mmol N/m3/d","group sedimentation"
"195","PHY_green_set_p","mmol P/m3/d","group sedimentation"
"196","PHY_in","mmol N/m3","total phytoplankton nitrogen"
"197","PHY_ip","mmol P/m3","total phytoplankton phosphorus"
"198","PHY_ncp","mmol C/m3/d","net community production"
"199","PHY_npr","-","phytoplankton p/r ratio (net)"
"200","PHY_par","W/m2","photosynthetically active radiation"
"201","PHY_ppr","-","phytoplankton p/r ratio (gross)"
"202","PHY_res","mmol C/m2/d","phytoplankton resuspension"
"203","PHY_res_Z","mmol C/m2/d","phytoplankton resuspension"
"204","PHY_set","mmol C/m2/d","phytoplankton sedimentation"
"205","PHY_tchla","ug/L","total chlorophyll-a"
"206","PHY_tphy","mmol/m3","total phytoplankton"
"207","PHY_upt_dic","mmol C/m3/d","carbon uptake"
"208","PHY_upt_n2","mmol N/m3/d","nitrogen (N2) uptake"
"209","PHY_upt_nh4","mmol N/m3/d","nitrogen (NH4) uptake"
"210","PHY_upt_no3","mmol N/m3/d","nitrogen (NO3) uptake"
"211","PHY_upt_po4","mmol P/m3/d","phosphate uptake"
"212","precipitation","m/s","precipitation"
"213","radn","unknown","solar radiation"
"214","Rain","","Rain"
"215","restart_variables","various","dep_mx,prev_thick,g_prime_two_layer,energy_avail_max,mass_epi,old_slope,time_end_shear,time_start_shear,time_count_end,time_count_sim,half_seiche_period,thermocline_height,f0, fsum,u_f,u0,u_avg"
"216","salt","g/kg","salinity"
"217","SDF_Fsed_amm","mmol N/m2/d","flux rate of amm across the swi"
"218","SDF_Fsed_amm_Z","mmol N/m2/d","flux rate of amm across the swi"
"219","SDF_Fsed_ch4","mmol C/m2/d","flux rate of ch4 across the swi"
"220","SDF_Fsed_ch4_Z","mmol C/m2/d","flux rate of ch4 across the swi"
"221","SDF_Fsed_frp","mmol P/m2/d","flux rate of frp across the swi"
"222","SDF_Fsed_frp_Z","mmol P/m2/d","flux rate of frp across the swi"
"223","SDF_Fsed_nit","mmol N/m2/d","flux rate of nit across the swi"
"224","SDF_Fsed_nit_Z","mmol N/m2/d","flux rate of nit across the swi"
"225","SDF_Fsed_oxy","mmol O2/m2/d","flux rate of oxygen across the swi"
"226","SDF_Fsed_oxy_Z","mmol O2/m2/d","flux rate of oxygen across the swi"
"227","SIL_dsf_rsi","mmol/m2/d","Si exchange across sed/water interface"
"228","SIL_dsf_rsi_Z","mmol/m2/d","Si exchange across sed/water interface"
"229","SIL_rsi","mmol Si/m3","silica"
"230","Snow Density","","Snow Density"
"231","snow_thickness","meters","Height of Snow"
"232","Snowfall","","Snowfall"
"233","solar","10E-6m","Shortwave"
"234","Surface Area","","Surface Area"
"235","Surface Temp","","Surface Temp"
"236","Surface Wave Height","","Surface Wave Height"
"237","Surface Wave Length","","Surface Wave Length"
"238","Surface Wave Period","","Surface Wave Period"
"239","surface_layer","","Number of Layers"
"240","taub","N/m2","layer stress"
"241","temp","celsius","temperature"
"242","Tot Inflow Vol","","Tot Inflow Vol"
"243","Tot Outflow Vol","","Tot Outflow Vol"
"244","TOT_extc","W/m2","Light extinction coefficient"
"245","TOT_light","W/m2","Shortwave light flux"
"246","TOT_par","W/m2","Photosynthetically active light flux"
"247","TOT_tn","mmol/m3","Total Nitrogen"
"248","TOT_toc","mmol/m3","Total Organic Carbon"
"249","TOT_tp","mmol/m3","Total Phosphorus"
"250","TOT_uv","W/m2","Ultraviolet light flux"
"251","TRC_age","secs","tracer"
"252","TRC_tr1","g/m3","tracer"
"253","TRC_tr1_vvel","m/d","vertical velocity"
"254","umean","m/s","mean velocity"
"255","uorb","m/s","orbital velocity"
"256","V","m3","layer volume"
"257","Vol Blue Ice","","Vol Blue Ice"
"258","Vol Snow","","Vol Snow"
"259","Vol White Ice","","Vol White Ice"
"260","white_ice_thickness","meters","Height of WhiteIce"
"261","wind","m/s","wind"
"262","z_L","","z_L"
